company,year,indicator,value,numeric_value,unit,source_page,confidence,notes
BBVA,2025,E1-1,,,tCO2e,,0.0,
BBVA,2025,E1-2,,,tCO2e,,0.0,
BBVA,2025,E1-3,,,tCO2e,,1.0,
BBVA,2025,E1-4,690 tCO2e/Mn€,,tCO2e per €M revenue,352.0,1.0,
BBVA,2025,E1-5,"678,266 MWh",,MWh or GJ,354.0,1.0,
BBVA,2025,E1-6,90%,,%,354.0,1.0,
BBVA,2025,E1-7,2050,,year,305.0,0.9,
BBVA,2025,E1-8,15 billion euros,,€ millions,295.0,0.8,
BBVA,2025,S1-1,,,FTE,,0.0,
BBVA,2025,S1-2,,,%,,0.0,
BBVA,2025,S1-3,23.0%,,%,386.0,0.9,
BBVA,2025,S1-4,53.4 hours,,hours,382.0,1.0,
BBVA,2025,S1-5,11.5%,,%,405.0,1.0,
BBVA,2025,S1-6,280 (count),,count,396.0,0.9,
BBVA,2025,S1-7,,,%,,0.0,
BBVA,2025,G1-1,46.7%,,%,301.0,1.0,
BBVA,2025,G1-2,,,count/year,,0.0,
BBVA,2025,G1-3,,,count,,0.0,
BBVA,2025,G1-4,,,days,,0.0,
BBVA,2025,ESRS2-1,99%,,%,439.0,0.8,
