company,year,indicator,value,numeric_value,unit,source_page,confidence,notes
BPCE,2024,E1-1,,,tCO2e,,0.0,
BPCE,2024,E1-2,"18,152 tCO2eq",,tCO2e,142.0,0.9,
BPCE,2024,E1-3,"498,165 tCO2eq",,tCO2e,142.0,0.9,
BPCE,2024,E1-4,,,tCO2e per €M revenue,,0.0,
BPCE,2024,E1-5,,,MWh or GJ,,0.0,
BPCE,2024,E1-6,14%,,%,132.0,1.0,
BPCE,2024,E1-7,2050,,year,1076.0,1.0,
BPCE,2024,E1-8,,,€ millions,,0.0,
BPCE,2024,S1-1,"92,361 FTE",,FTE,170.0,1.0,
BPCE,2024,S1-2,55.3%,,%,170.0,0.8,
BPCE,2024,S1-3,17.0%,,%,179.0,1.0,
BPCE,2024,S1-4,,,hours,,0.0,
BPCE,2024,S1-5,,,%,,0.0,
BPCE,2024,S1-6,"1,166",,count,177.0,1.0,
BPCE,2024,S1-7,,,%,,0.0,
BPCE,2024,G1-1,33.33%,,%,424.0,0.8,
BPCE,2024,G1-2,11 count/year,,count/year,465.0,1.0,
BPCE,2024,G1-3,,,count,,0.0,
BPCE,2024,G1-4,,,days,,0.0,
BPCE,2024,ESRS2-1,,,%,,0.0,
